"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2006.0","126.5","128.4","122.5","123.6","130.6","122.5","124.8","122.5","123.6","124.8","121.3","131.8","141.2"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2007.0","123.8","126.6","122.2","128.4","131.3","124.7","120.2","129.2","118.8","123.5","113.3","118.8","129.1"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2008.0","105.1","112.4","114.0","114.4","116.8","106.3","100.6","103.8","99.9","97.9","94.9","97.9","102.5"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2009.0","90.7","82.2","78.1","80.5","89.3","88.5","94.2","92.1","92.4","87.1","93.9","107.4","102.1"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2010.0","100.0","91.1","92.4","94.9","100.6","97.5","100.0","97.9","101.6","107.5","105.4","105.5","105.7"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2011.0","107.8","104.9","102.9","104.2","99.8","103.5","111.7","115.4","113.4","107.7","105.7","109.4","115.4"
"所定外労働時間（総数）","TL調査産業計","３０人以上","2012.0","103.3","103.3","104.3","107.6","106.5","108.7","100.0","103.3","102.2","100.0","91.3","100.0","112.0"
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2007.0","-2.1","-1.4","-0.2","3.8","0.5","1.8","-3.7","5.5","-3.9","-1.0","-6.6","-9.8","-8.6"
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2008.0","-15.1","-11.2","-6.8","-10.8","-11.1","-14.8","-16.3","-19.6","-15.9","-20.7","-16.3","-17.6","-20.6"
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2009.0","-13.8","-26.9","-31.5","-29.7","-23.5","-16.8","-6.4","-11.3","-7.6","-11.1","-1.0","9.6","-0.5"
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2010.0","10.4","10.8","18.3","17.9","12.7","10.1","6.3","6.3","10.0","23.4","12.2","-1.8","3.6"
